j,v1,v2,v3,time
0,0.0599725,0.0579583,1.95699,0.00201416
2,0.0569512,0.0559945,1.89198,0.00402832
4,0.0549874,0.0549874,1.838,0.00588989
6,0.0539803,0.0529732,1.78397,0.00769043
8,0.0519661,0.0519661,1.73296,0.00949096
10,0.0499519,0.0499519,1.68497,0.0113525
12,0.0499519,0.0489952,1.63698,0.0132446
14,0.0459739,0.046981,1.58497,0.0151062
16,0.046981,0.0459739,1.54196,0.0169372
18,0.0439597,0.0449668,1.49795,0.0187683
20,0.0439597,0.0429526,1.45596,0.0205994
22,0.0429526,0.0419959,1.41698,0.0223999
24,0.0419959,0.0409888,1.37695,0.0242309
26,0.0399817,0.0399817,1.33898,0.026062
28,0.0399817,0.0399817,1.30097,0.0278625
30,0.0379675,0.0369604,1.263,0.0296936
32,0.0359533,0.0369604,1.23097,0.0314941
34,0.0359533,0.0349965,1.19799,0.0333252
36,0.0349965,0.0349965,1.16299,0.0351562
38,0.0349965,0.0339894,1.12996,0.0369873
40,0.0329823,0.0329823,1.10096,0.0387878
42,0.0329823,0.0319753,1.07099,0.0405884
44,0.0319753,0.0309682,1.04098,0.0424194
46,0.0299611,0.0279972,1.01299,0.04422
48,0.0299611,0.0299611,0.986953,0.046051
50,0.028954,0.0269901,0.956992,0.0478515
52,0.0279972,0.0269901,0.931966,0.0496826
54,0.025983,0.0269901,0.90699,0.0514831
56,0.025983,0.025983,0.881963,0.0533142
58,0.024976,0.0269901,0.857995,0.0551147
60,0.0239689,0.0239689,0.834982,0.0569458
62,0.0239689,0.0239689,0.812977,0.0587463
64,0.0229618,0.0229618,0.790972,0.0605774
66,0.0229618,0.0209979,0.768967,0.0624084
68,0.0219547,0.0229618,0.749984,0.064209
70,0.0209979,0.0219547,0.727978,0.06604
72,0.0219547,0.0219547,0.709951,0.0678405
74,0.0209979,0.0209979,0.689961,0.0696716
76,0.0189837,0.0179766,0.672991,0.0714722
78,0.0189837,0.0179766,0.653957,0.0733032
80,0.0189837,0.0189837,0.644994,0.0740967
82,0.0189837,0.0179766,0.627974,0.0759277
84,0.0179766,0.0189837,0.612968,0.0777282
86,0.0179766,0.0179766,0.596956,0.0795593
88,0.0159625,0.0159625,0.580993,0.0813598
90,0.0169695,0.0159625,0.565987,0.0831909
92,0.0159625,0.0159625,0.550982,0.085022
94,0.0149554,0.0159625,0.536983,0.0868225
96,0.0139986,0.0139986,0.523991,0.0886535
98,0.0149554,0.0139986,0.508986,0.0904541
100,0.0189837,0.0139986,0.495994,0.0922851
102,0.0129915,0.0129915,0.481996,0.0940857
104,0.0129915,0.0119844,0.469961,0.0959167
106,0.0119844,0.0119844,0.457976,0.0977173
108,0.0119844,0.0129915,0.446999,0.0995483
110,0.0139986,0.00997024,0.436978,0.101379
112,0.0109773,0.0109773,0.421973,0.10318
114,0.0119844,0.0119844,0.410995,0.105438
116,0.0109773,0.0109773,0.398961,0.107269
118,0.00997024,0.00997024,0.389997,0.10907
120,0.0109773,0.0109773,0.379977,0.110901
122,0.0109773,0.00997024,0.369,0.112701
124,0.00896315,0.0109773,0.360993,0.114532
126,0.00997024,0.00896315,0.350973,0.116333
128,0.00997024,0.00896315,0.342966,0.118164
130,0.00896315,0.00896315,0.328968,0.119995
132,0.00896315,0.00997024,0.321968,0.121796
134,0.00896315,0.00795605,0.318997,0.123627
136,0.00699931,0.00997024,0.305955,0.125427
138,0.00896315,0.00997024,0.297999,0.127258
140,0.00896315,0.00795605,0.29095,0.129059
142,0.00795605,0.00699931,0.284958,0.13089
144,0.00795605,0.00699931,0.277958,0.13269
146,0.00699931,0.00699931,0.270959,0.134521
148,0.00699931,0.00699931,0.262952,0.136322
150,0.00699931,0.00699931,0.257967,0.138122
152,0.00699931,0.00699931,0.251975,0.139954
154,0.00699931,0.00699931,0.243969,0.141754
156,0.00699931,0.00599222,0.234955,0.144257
158,0.00795605,0.00599222,0.22997,0.146088
160,0.00699931,0.00498512,0.224985,0.147888
162,0.00498512,0.00599222,0.217986,0.149719
164,0.00498512,0.00599222,0.21295,0.15152
166,0.00599222,0.00795605,0.207965,0.153351
168,0.00498512,0.00498512,0.203987,0.155151
170,0.00397803,0.00498512,0.194974,0.157654
172,0.00397803,0.00397803,0.190996,0.159485
174,0.00498512,0.00498512,0.184953,0.161987
176,0.00498512,0.00599222,0.177954,0.164642
178,0.00397803,0.00498512,0.172969,0.166504
180,0.00498512,0.00397803,0.169998,0.168304
182,0.00397803,0.00297093,0.166976,0.170135
184,0.00397803,0.00297093,0.160984,0.171967
186,0.00498512,0.00297093,0.156956,0.173767
188,0.00498512,0.00397803,0.153985,0.175598
190,0.00297093,0.00397803,0.150964,0.177429
192,0.00397803,0.00397803,0.146985,0.17923
194,0.00297093,0.00297093,0.14195,0.181061
196,0.00297093,0.00297093,0.138979,0.182892
198,0.00397803,0.00397803,0.135958,0.184692
200,0.00196384,0.00397803,0.132987,0.186523
202,0.00397803,0.00297093,0.130973,0.188324
204,0.00297093,0.00297093,0.12498,0.190155
206,0.00297093,0.00297093,0.122966,0.191986
208,0.00196384,0.00297093,0.120952,0.193817
210,0.00297093,0.00196384,0.116974,0.195618
212,0.00196384,0.00095674,0.112996,0.197449
214,0.00297093,0.00196384,0.111989,0.199249
216,0.00196384,0.00297093,0.109975,0.20108
218,0.00397803,0.00297093,0.105997,0.202911
220,0.00196384,0.00297093,0.103983,0.204712
222,0.00498512,0.00095674,0.101968,0.206543
224,0.00196384,0.00196384,0.0979903,0.208344
226,0.00196384,0.00196384,0.0969832,0.210175
228,0.00095674,0.00196384,0.094969,0.212006
230,0.00196384,0.00196384,0.0919981,0.213806
232,0.00196384,0.00095674,0.0889768,0.215637
234,0.00196384,0.00196384,0.0869626,0.217438
236,0.00196384,0.00095674,0.0849988,0.219269
238,0.00095674,0.00095674,0.0839917,0.221069
240,0.00095674,0.00196384,0.0819775,0.2229
242,0.00095674,0.00196384,0.0799633,0.224701
244,0.00196384,0.00196384,0.0779995,0.226532
246,0.00095674,0.00095674,0.0759853,0.228332
248,0.00095674,0.00297093,0.0749782,0.230164
250,0.00095674,0.0,0.0719569,0.231964
252,0.00095674,0.00196384,0.0719569,0.233795
254,0.00196384,0.00095674,0.0699931,0.235626
