j,vdac,v1,v2,time
0,0.0,0.0959761,0.0619867,0.399811
5,0.0646555,0.137972,0.0619867,0.802917
10,0.129361,0.197995,0.090991,1.2052
15,0.194067,0.259982,0.130973,1.60782
20,0.258773,0.318997,0.170954,2.01038
25,0.323479,0.381991,0.213957,2.41287
30,0.388185,0.44,0.252982,2.8154
35,0.45289,0.501987,0.292964,3.21793
40,0.517596,0.562966,0.328968,3.62048
45,0.582302,0.619968,0.372978,4.02301
50,0.647008,0.684976,0.413966,4.42554
55,0.711714,0.744998,0.455962,4.82806
60,0.77642,0.806985,0.495994,5.23056
65,0.841126,0.85598,0.536983,5.63309
70,0.905832,0.915953,0.569965,6.07553
75,0.970537,0.978997,0.609997,6.47861
80,1.03524,1.04098,0.649979,6.88092
85,1.09995,1.10297,0.691975,7.28342
90,1.16465,1.16697,0.732964,7.68591
95,1.22936,1.22599,0.772996,8.08847
100,1.29407,1.28697,0.813984,8.491
105,1.35877,1.34895,0.854973,8.89352
110,1.42348,1.40998,0.894955,9.29608
115,1.48818,1.47096,0.934987,9.69864
120,1.55289,1.53295,0.974969,10.1012
125,1.6176,1.59599,1.01898,10.5037
130,1.6823,1.66599,1.05896,10.9063
135,1.74706,1.73895,1.107,11.3087
140,1.81171,1.78895,1.15695,11.8021
145,1.87642,1.84696,1.18898,12.2043
150,1.94112,1.90799,1.22795,12.6065
155,2.00588,1.97798,1.26798,13.009
160,2.07054,2.02698,1.31799,13.4116
165,2.13524,2.08398,1.34497,13.8141
170,2.19995,2.14597,1.38899,14.2166
175,2.2647,2.21798,1.42897,14.6191
180,2.32936,2.26596,1.47695,15.0216
185,2.39407,2.32699,1.50898,15.4242
190,2.45877,2.38898,1.547,15.8267
195,2.52353,2.45197,1.58799,16.2292
200,2.58818,2.50198,1.62898,16.6317
205,2.65289,2.56497,1.66297,17.0343
210,2.7176,2.62998,1.70098,17.4777
215,2.78235,2.654,1.74096,17.8798
220,2.84701,2.654,1.78996,18.2831
225,2.91171,2.654,1.82098,18.6859
230,2.97642,2.654,1.85698,19.0884
235,3.04117,2.654,1.89696,19.491
240,3.10583,2.654,1.93795,19.8935
245,3.17054,2.654,1.96595,20.296
250,3.23524,2.654,1.98,20.6985
